Zb+,R' L R L' B D' R U' L' B L B' U R' D B'
Zb-,F BR D B L B' L' D' BR' F'
Zr,U' L' R' BL' B' L' B L R BL L' R' L' R U
Zr+,U' L' B' BL B' L U B' U B L' B' BL L B' U B U'
Zr-,F' L R B' BR' B' D B D' BR B R' L' F
Zl,U' D' B L' D' B BR R D' R' D BR' D B L U' D U'
Zl+,U' R' L U' D' B' D' B U D' R L' U
Zl-,B F R' D B BL D' B D B' BL' B' D' R B' F'
S,F D' B F L' B' L U R' L R L' U' F' D F'
S+,F D' F' D' B BL L B' L' B BL' B' D F D F'
S-,R' B' F' U' B L B' L' U B F R
Sc,U D B L' BL' D L' D' L BL B' L D' U'
Sc+,U' B U' D' B D BL' L D L' D' BL D' B' U D B' U
Sc-,U D BR B U D' L D' L D L U' D B' BR' U' D'
Sa,U' R B R B' U B' R BL' B R' B' BL U' R U B
Sa+,B' F U' F' U' B L' B L B U F U B F'
Sa-,U' L' R' L F L R L' R' F' R U' L B L' B' U'
Sb,U' B L' BL' BR D' L' D BR' L BL D' B D B' L B' U
Sb+,U' BR U D B L B' L' U' D' BR' U
Sb-,F U' F' U D F' R B' R' B F U' D' F U F'
Sr,U' L' B BR L R' BR' BL L' D' L D BL' BR R BR' B' U
Sr+,F' L U' R B' R' B U L' B L' D L D' B' F
Sr-,U L R' U D B D B' U' D L' R U'
Sl,U R BR L B R B' R' BR' L' R L R L' U'
Sl+,F L B' D' F D R' D' R F' D B L' F'
Sl-,U' D' B D F BR' B D' R' D R B' BR D B' D' F' U
X,U R' L F BL L' BL L R L' BL' L R' BL' F' R L' U'
X+,BR L' D' L R' L' B' D B BR' L B' BR R BR' B
X-,BL' BR' D' L D BR' D' L' D BR' BL U' L R' L' R U
Xb,Uv' L R' F L' R L R' F' R F L' B L F' L' B' Uv
Xb+,Uv BL' B U B' R B R' U' R B' R' BL L R' L' R Uv'
Xb-,R' U' F D' B D' B' D' F L' B L B' F U R
Y,U' L' B L D L' D' BL' B' F' L B L' F BL L B' U
Y+,U R' L F' L F' R' F L' F' R F' R L' U'
Y-,U' L R' F R' F L F' R F L' F L' R U
Yb,F D' B F' L B' L' F BL' B R B' R' BL D F'
Yb+,U' D' R' BR U L R' L' R U' BR' R D L' B L B' U
Yb-,U B' F D' L' U' B L' B' L U L R' D R B F' U'
